Year,Anchovy,Herring,Mackerel,Tuna,Cod
1950,1,1987,271,120,1834
1951,8,2405,268,106,1945
1952,16,2471,403,131,2134
1953,38,2384,348,127,2010
1954,44,2761,441,143,2160
1955,66,2439,406,165,2281
1956,130,2631,491,182,2454
1957,346,2312,472,205,2220
1958,779,2020,451,220,2262
1959,2022,2176,472,226,2164
1960,3481,2018,524,298,2232
1961,5270,1977,546,295,2341
1962,7127,2170,604,277,2405
1963,7174,2220,674,255,2431
1964,9797,2735,735,271,2324
1965,7681,3298,919,269,2418
1966,9621,3389,874,275,2519
1967,10530,3242,1029,253,2667
1968,11272,2764,1334,318,2953
1969,9709,2000,1390,333,2827
1970,13060,2059,1845,364,2658
1971,11244,1907,1640,314,2547
1972,4815,1697,1573,423,2372
1973,1705,1728,1612,471,1988
1974,3973,1353,1788,493,2084
1975,3319,1321,1775,502,1903
1976,4297,1022,1563,549,1915
1977,811,857,2290,559,1844
1978,1416,807,2968,542,1809
1979,1413,768,2585,551,1833
1980,823,804,2302,546,1965
1981,1550,840,1505,606,2170
1982,1826,871,1433,567,2120
1983,126,1030,1397,596,1953
1984,94,1095,1848,611,1882
1985,987,1286,1397,724,1817
1986,4945,1390,1647,804,1833
1987,2101,1461,1340,880,1826
1988,3613,1724,1826,893,1958
1989,5408,1650,1687,930,1778
1990,3772,1542,1330,1006,1491
1991,4017,1404,1183,943,1344
1992,6157,1546,963,1053,1185
1993,8482,1642,1476,1106,1142
1994,12521,1930,1544,1098,1249
1995,8645,2353,1578,1048,1271
1996,8864,2329,2182,1035,1340
1997,7685,2534,2402,1143,1375
1998,1729,2421,1892,1190,1211
1999,8723,2411,1921,1178,1094
2000,11276,2381,1419,1152,940
2001,7213,1953,1795,1291,945
2002,9703,1874,1424,1303,903
2003,6204,1959,1808,1371,849
2004,10679,2020,1950,1306,905
2005,10244,2315,1984,1268,850
2006,7007,2225,1967,1109,834
2007,7612,2369,1708,1039,784
2008,7419,2479,1895,1142,769
2009,6910,2510,1617,1095,865
2010,4206,2201,1602,1159,951